Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_39:7	ConstantProduct	818.5694316090406	184.07332101418055		Positive	C47H81O8N1P1	C5H15O4N1P1	0	120	
PC_39:8	ConstantProduct	816.5537815449005	184.07332101418055		Positive	C47H79O8N1P1	C5H15O4N1P1	0	120	
PC_33:6	ConstantProduct	736.4911812883405	184.07332101418055		Positive	C41H71O8N1P1	C5H15O4N1P1	0	120	
PC_35:8	ConstantProduct	760.4911812883405	184.07332101418055		Positive	C43H71O8N1P1	C5H15O4N1P1	0	120	
PC_37:2	ConstantProduct	800.6163818014605	184.07332101418055		Positive	C45H87O8N1P1	C5H15O4N1P1	0	120	
PC_37:9	ConstantProduct	786.5068313524806	184.07332101418055		Positive	C45H73O8N1P1	C5H15O4N1P1	0	120	
PC_39:9	ConstantProduct	814.5381314807606	184.07332101418055		Positive	C47H77O8N1P1	C5H15O4N1P1	0	120	
PC_33:7	ConstantProduct	734.4755312242006	184.07332101418055		Positive	C41H69O8N1P1	C5H15O4N1P1	0	120	
PC_35:9	ConstantProduct	758.4755312242006	184.07332101418055		Positive	C43H69O8N1P1	C5H15O4N1P1	0	120	
PC_37:3	ConstantProduct	798.6007317373206	184.07332101418055		Positive	C45H85O8N1P1	C5H15O4N1P1	0	120	
PC_37:10	ConstantProduct	784.4911812883405	184.07332101418055		Positive	C45H71O8N1P1	C5H15O4N1P1	0	120	
PC_39:10	ConstantProduct	812.5224814166205	184.07332101418055		Positive	C47H75O8N1P1	C5H15O4N1P1	0	120	
PC_40:0	ConstantProduct	846.6946321221607	184.07332101418055		Positive	C48H97O8N1P1	C5H15O4N1P1	0	120	
PC_40:1	ConstantProduct	844.6789820580206	184.07332101418055		Positive	C48H95O8N1P1	C5H15O4N1P1	0	120	
PC_40:2	ConstantProduct	842.6633319938807	184.07332101418055		Positive	C48H93O8N1P1	C5H15O4N1P1	0	120	
PC_40:3	ConstantProduct	840.6476819297405	184.07332101418055		Positive	C48H91O8N1P1	C5H15O4N1P1	0	120	
PC_40:4	ConstantProduct	838.6320318656007	184.07332101418055		Positive	C48H89O8N1P1	C5H15O4N1P1	0	120	
PC_40:5	ConstantProduct	836.6163818014605	184.07332101418055		Positive	C48H87O8N1P1	C5H15O4N1P1	0	120	
PC_40:6	ConstantProduct	834.6007317373206	184.07332101418055		Positive	C48H85O8N1P1	C5H15O4N1P1	0	120	
PC_40:7	ConstantProduct	832.5850816731805	184.07332101418055		Positive	C48H83O8N1P1	C5H15O4N1P1	0	120	
PC_40:8	ConstantProduct	830.5694316090406	184.07332101418055		Positive	C48H81O8N1P1	C5H15O4N1P1	0	120	
PC_40:9	ConstantProduct	828.5537815449005	184.07332101418055		Positive	C48H79O8N1P1	C5H15O4N1P1	0	120	
PC_40:10	ConstantProduct	826.5381314807606	184.07332101418055		Positive	C48H77O8N1P1	C5H15O4N1P1	0	120	
PC_38:11	ConstantProduct	796.4911812883405	184.07332101418055		Positive	C46H71O8N1P1	C5H15O4N1P1	0	120	
PC_40:11	ConstantProduct	824.5224814166205	184.07332101418055		Positive	C48H75O8N1P1	C5H15O4N1P1	0	120	
PC_41:0	ConstantProduct	860.7102821863006	184.07332101418055		Positive	C49H99O8N1P1	C5H15O4N1P1	0	120	
PC_41:1	ConstantProduct	858.6946321221607	184.07332101418055		Positive	C49H97O8N1P1	C5H15O4N1P1	0	120	
